LocCurrency,PortNumber,AccNumber,LocNumber,GeogName1,AreaName1,Latitude,Longitude,CountryCode,ConstructionCode,OccupancyCode,YearBuilt,YearUpgraded,NumberOfStoreys,NumberOfBuildings,LocPerilsCovered,BuildingTIV
n/a,1,146,10139,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5109,1050,1900,1900,1,3981,QEQ,261453767.4
n/a,1,146,10138,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,2,2865,QEQ,89112960
n/a,1,146,10137,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,1,3438,QEQ,59408640
n/a,1,146,10136,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,6,113,QEQ,235130400
n/a,1,146,10135,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,5,136,QEQ,235824000
n/a,1,146,10134,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,4,170,QEQ,235824000
n/a,1,146,10133,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,3,1301,QEQ,362754187.2
n/a,1,146,10132,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,2,2771,QEQ,691907616
n/a,1,146,10131,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,5,218,QEQ,47088000
n/a,1,146,10130,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,4,273,QEQ,47174400
n/a,1,146,10129,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,3,1346,QEQ,46750348.8
n/a,1,146,10128,Santo Domingo Oeste,Santo Domingo,18.47373,-70.01334,DR,5150,1050,1900,1900,2,2941,QEQ,91476864
n/a,1,146,10124,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5050,1050,1900,1900,1,4,QEQ,69120
n/a,1,146,10123,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5050,1050,1900,1900,1,1509,QEQ,26075520
n/a,1,146,10122,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5050,1050,1900,1900,2,443,QEQ,11482560
n/a,1,146,10121,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5050,1050,1900,1900,2,773,QEQ,20036160
n/a,1,146,10120,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5050,1050,1900,1900,1,1443,QEQ,24935040
n/a,1,146,10119,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5050,1050,1900,1900,1,29,QEQ,501120
n/a,1,146,10118,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5000,1050,1900,1900,1,1279,QEQ,22101120
n/a,1,146,10117,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5105,1050,1900,1900,2,1741,QEQ,45126720
n/a,1,146,10116,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5105,1050,1900,1900,1,2209,QEQ,38171520
n/a,1,146,10115,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5105,1050,1900,1900,3,69,QEQ,19239076.8
n/a,1,146,10114,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5105,1050,1900,1900,2,156,QEQ,38952576
n/a,1,146,10113,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5105,1050,1900,1900,1,187,QEQ,25940640
n/a,1,146,10112,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5105,1050,1900,1900,3,122,QEQ,16104921.59
n/a,1,146,10111,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5105,1050,1900,1900,2,700,QEQ,82751004
n/a,1,146,10110,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5105,1050,1900,1900,1,1157,QEQ,41652000
n/a,1,146,10109,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5109,1050,1900,1900,3,33,QEQ,9201297.6
n/a,1,146,10108,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5109,1050,1900,1900,2,97,QEQ,24220512
n/a,1,146,10107,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5109,1050,1900,1900,1,151,QEQ,20946720
n/a,1,146,10106,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5109,1050,1900,1900,3,51,QEQ,6732385.254
n/a,1,146,10105,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5109,1050,1900,1900,2,468,QEQ,55324956.96
n/a,1,146,10104,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5109,1050,1900,1900,1,759,QEQ,49847628.6
n/a,1,146,10103,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,2,248,QEQ,7713792
n/a,1,146,10102,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,1,297,QEQ,5132160
n/a,1,146,10101,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,6,1,QEQ,2080800
n/a,1,146,10100,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,5,1,QEQ,1734000
n/a,1,146,10099,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,4,1,QEQ,1387200
n/a,1,146,10098,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,3,63,QEQ,17566113.6
n/a,1,146,10097,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,2,148,QEQ,36955008
n/a,1,146,10096,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,5,1,QEQ,216000
n/a,1,146,10095,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,4,2,QEQ,345600
n/a,1,146,10094,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,3,82,QEQ,2848089.6
n/a,1,146,10093,Santo Domingo Este,Santo Domingo,18.55087,-69.76955,DR,5150,1050,1900,1900,2,281,QEQ,8740224
n/a,1,146,10092,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5050,1050,1900,1900,1,106,QEQ,1831680
n/a,1,146,10091,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5050,1050,1900,1900,1,5289,QEQ,91393920
n/a,1,146,10090,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5050,1050,1900,1900,2,1667,QEQ,43208640
n/a,1,146,10089,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5050,1050,1900,1900,2,2757,QEQ,71461440
n/a,1,146,10088,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5050,1050,1900,1900,1,4917,QEQ,84965760
n/a,1,146,10087,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5050,1050,1900,1900,1,149,QEQ,2574720
n/a,1,146,10086,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5000,1050,1900,1900,1,5082,QEQ,87816960
n/a,1,146,10085,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5105,1050,1900,1900,2,20768,QEQ,538306560
n/a,1,146,10084,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5105,1050,1900,1900,1,28508,QEQ,492618240
n/a,1,146,10083,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5105,1050,1900,1900,3,1797,QEQ,501052478.4
n/a,1,146,10082,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5105,1050,1900,1900,2,4427,QEQ,1105404192
n/a,1,146,10081,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5105,1050,1900,1900,1,3621,QEQ,502305120
n/a,1,146,10080,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5105,1050,1900,1900,3,4378,QEQ,577929071.4
n/a,1,146,10079,Santo Domingo Este,Santo Domingo,18.49825,-69.80315,DR,5105,1050,1900,1900,2,19979,QEQ,2361831870
